name,keywords
Mentee_70,"Web Development, Sustainability, Artificial Intelligence"
Mentee_71,"Robotics, Cybersecurity, Marketing"
Mentee_72,"Artificial Intelligence, Cybersecurity"
Mentee_73,"Machine Learning, Sustainability"
Mentee_74,Mobile App Development
Mentee_75,Data Science
Mentee_76,"Biotechnology, Marketing"
Mentee_77,"Mobile App Development, Cybersecurity, Web Development"
Mentee_78,Marketing
Mentee_79,"Sustainability, Cloud Computing"
Mentee_80,"Web Development, Robotics"
Mentee_81,Data Science
Mentee_82,Graphic Design
Mentee_83,"Cloud Computing, Cybersecurity, Healthcare"
Mentee_84,"Cloud Computing, Machine Learning"
Mentee_85,"Robotics, Web Development"
Mentee_86,Healthcare
Mentee_87,Cloud Computing
Mentee_88,Mobile App Development
Mentee_89,"Finance, Cloud Computing, Artificial Intelligence"
Mentee_90,"Data Science, Cloud Computing"
Mentee_91,Mobile App Development
Mentee_92,"Healthcare, Cybersecurity, Graphic Design"
Mentee_93,Graphic Design
Mentee_94,"Machine Learning, Biotechnology, Web Development"
Mentee_95,"Data Science, Education"
Mentee_96,Healthcare
Mentee_97,Graphic Design
Mentee_98,"Web Development, Data Science"
Mentee_99,"Marketing, Mobile App Development, Sustainability"
Mentee_100,"Graphic Design, Web Development"
Mentee_101,Artificial Intelligence
Mentee_102,"Data Science, Graphic Design"
Mentee_103,Mobile App Development
Mentee_104,"Cybersecurity, Data Science, Healthcare"
Mentee_105,"Mobile App Development, Marketing"
Mentee_106,"Marketing, Mobile App Development"
Mentee_107,"Cloud Computing, Finance, Mobile App Development"
Mentee_108,"Biotechnology, Machine Learning, Marketing"
Mentee_109,"Robotics, Machine Learning, Mobile App Development"
Mentee_110,"Finance, Robotics, Graphic Design"
Mentee_111,Cloud Computing
Mentee_112,Robotics
Mentee_113,"Artificial Intelligence, Machine Learning"
Mentee_114,Education
Mentee_115,"Education, Graphic Design"
Mentee_116,"Cloud Computing, Graphic Design, Marketing"
Mentee_117,"Graphic Design, Web Development"
Mentee_118,Web Development
Mentee_119,Marketing
Mentee_120,Artificial Intelligence
Mentee_121,"Marketing, Sustainability, Robotics"
Mentee_122,"Healthcare, Cloud Computing, Cybersecurity"
Mentee_123,Artificial Intelligence
Mentee_124,Finance
Mentee_125,"Healthcare, Finance"
Mentee_126,Marketing
Mentee_127,"Web Development, Healthcare, Mobile App Development"
Mentee_128,Cloud Computing
Mentee_129,Artificial Intelligence
Mentee_130,Web Development
Mentee_131,"Data Science, Robotics, Healthcare"
Mentee_132,"Machine Learning, Education"
Mentee_133,"Sustainability, Mobile App Development, Artificial Intelligence"
Mentee_134,"Artificial Intelligence, Web Development"
Mentee_135,"Biotechnology, Cybersecurity"
Mentee_136,"Marketing, Web Development"
Mentee_137,Graphic Design
Mentee_138,Mobile App Development
Mentee_139,Cloud Computing
Mentee_140,Healthcare
Mentee_141,Cloud Computing
Mentee_142,"Finance, Biotechnology"
Mentee_143,Mobile App Development
Mentee_144,"Web Development, Cloud Computing, Healthcare"
Mentee_145,Cybersecurity
Mentee_146,Mobile App Development
Mentee_147,"Artificial Intelligence, Healthcare, Marketing"
Mentee_148,"Education, Artificial Intelligence"
Mentee_149,"Mobile App Development, Artificial Intelligence, Cybersecurity"
Mentee_150,"Cloud Computing, Robotics"
Mentee_151,Healthcare
Mentee_152,Web Development
Mentee_153,Web Development
Mentee_154,"Graphic Design, Data Science, Mobile App Development"
Mentee_155,Cloud Computing
Mentee_156,"Cybersecurity, Data Science, Education"
Mentee_157,"Artificial Intelligence, Robotics"
Mentee_158,Machine Learning
Mentee_159,"Finance, Graphic Design"
Mentee_160,"Cybersecurity, Data Science, Graphic Design"
Mentee_161,"Finance, Marketing"
Mentee_162,"Machine Learning, Sustainability, Cloud Computing"
Mentee_163,"Finance, Robotics, Machine Learning"
Mentee_164,"Finance, Education, Cloud Computing"
Mentee_165,Healthcare
Mentee_166,Biotechnology
Mentee_167,Data Science
Mentee_168,"Artificial Intelligence, Healthcare, Robotics"
Mentee_169,Biotechnology
Mentee_170,"Web Development, Sustainability"
Mentee_171,"Cloud Computing, Graphic Design, Marketing"
Mentee_172,"Cybersecurity, Sustainability, Marketing"
Mentee_173,Cloud Computing
Mentee_174,Artificial Intelligence
Mentee_175,"Finance, Cloud Computing"
Mentee_176,"Data Science, Robotics, Cybersecurity"
Mentee_177,"Data Science, Marketing"
Mentee_178,Graphic Design
Mentee_179,Data Science
Mentee_180,"Biotechnology, Machine Learning, Cybersecurity"
Mentee_181,"Healthcare, Data Science"
Mentee_182,Finance
Mentee_183,"Cybersecurity, Data Science"
Mentee_184,"Cloud Computing, Artificial Intelligence"
Mentee_185,"Data Science, Finance"
Mentee_186,"Robotics, Artificial Intelligence, Machine Learning"
Mentee_187,Biotechnology
Mentee_188,"Healthcare, Web Development"
Mentee_189,"Mobile App Development, Web Development, Robotics"
Mentee_190,"Cloud Computing, Mobile App Development, Education"
Mentee_191,"Marketing, Machine Learning"
Mentee_192,"Machine Learning, Biotechnology"
Mentee_193,"Sustainability, Marketing, Biotechnology"
Mentee_194,"Machine Learning, Data Science, Mobile App Development"
Mentee_195,"Biotechnology, Cloud Computing, Education"
Mentee_196,Cybersecurity
Mentee_197,"Marketing, Cloud Computing"
Mentee_198,Sustainability
Mentee_199,"Data Science, Graphic Design, Cloud Computing"
Mentee_200,Healthcare
Mentee_201,"Healthcare, Cloud Computing, Marketing"
Mentee_202,"Marketing, Cybersecurity, Graphic Design"
Mentee_203,"Mobile App Development, Artificial Intelligence, Sustainability"
Mentee_204,"Sustainability, Data Science"
Mentee_205,"Web Development, Mobile App Development"
Mentee_206,"Biotechnology, Robotics, Artificial Intelligence"
Mentee_207,"Mobile App Development, Healthcare, Graphic Design"
Mentee_208,Artificial Intelligence
Mentee_209,Finance
Mentee_210,"Sustainability, Healthcare, Biotechnology"
Mentee_211,"Robotics, Web Development"
Mentee_212,"Cloud Computing, Healthcare, Cybersecurity"
Mentee_213,Data Science
Mentee_214,"Mobile App Development, Cybersecurity, Healthcare"
Mentee_215,"Cybersecurity, Mobile App Development, Finance"
Mentee_216,"Cloud Computing, Biotechnology, Finance"
Mentee_217,"Artificial Intelligence, Biotechnology, Graphic Design"
Mentee_218,Cloud Computing
Mentee_219,"Cybersecurity, Education, Sustainability"
Mentee_220,"Artificial Intelligence, Data Science, Cloud Computing"
Mentee_221,Cybersecurity
Mentee_222,"Marketing, Web Development"
Mentee_223,"Healthcare, Biotechnology, Web Development"
Mentee_224,"Robotics, Healthcare, Marketing"
Mentee_225,Mobile App Development
Mentee_226,"Sustainability, Machine Learning"
Mentee_227,"Healthcare, Artificial Intelligence, Data Science"
Mentee_228,Mobile App Development
Mentee_229,Biotechnology
Mentee_230,"Robotics, Mobile App Development"
Mentee_231,"Graphic Design, Education, Machine Learning"
Mentee_232,"Cybersecurity, Mobile App Development, Education"
Mentee_233,"Cybersecurity, Artificial Intelligence, Robotics"
Mentee_234,Sustainability
Mentee_235,"Artificial Intelligence, Web Development, Marketing"
Mentee_236,"Finance, Artificial Intelligence"
Mentee_237,Cloud Computing
Mentee_238,"Data Science, Education, Robotics"
Mentee_239,"Artificial Intelligence, Web Development"
Mentee_240,"Robotics, Cloud Computing, Sustainability"
Mentee_241,"Mobile App Development, Cybersecurity"
Mentee_242,Mobile App Development
Mentee_243,Machine Learning
Mentee_244,"Machine Learning, Healthcare, Biotechnology"
Mentee_245,"Machine Learning, Healthcare"
Mentee_246,"Cloud Computing, Robotics, Machine Learning"
Mentee_247,Biotechnology
Mentee_248,Graphic Design
Mentee_249,"Biotechnology, Graphic Design, Marketing"
Mentee_250,"Artificial Intelligence, Finance"
Mentee_251,"Cloud Computing, Biotechnology, Machine Learning"
Mentee_252,Sustainability
Mentee_253,"Education, Healthcare"
Mentee_254,"Cybersecurity, Robotics, Machine Learning"
Mentee_255,Sustainability
Mentee_256,"Education, Cybersecurity"
Mentee_257,"Cloud Computing, Graphic Design, Artificial Intelligence"
Mentee_258,"Marketing, Mobile App Development, Graphic Design"
Mentee_259,"Cybersecurity, Graphic Design"
Mentee_260,"Graphic Design, Cybersecurity, Robotics"
Mentee_261,Marketing
Mentee_262,"Machine Learning, Education, Cybersecurity"
Mentee_263,Artificial Intelligence
Mentee_264,"Education, Finance, Data Science"
Mentee_265,Data Science
Mentee_266,Mobile App Development
Mentee_267,Cybersecurity
Mentee_268,"Education, Cybersecurity"
Mentee_269,Web Development
Mentee_270,"Cybersecurity, Biotechnology"
Mentee_271,"Machine Learning, Graphic Design"
Mentee_272,"Machine Learning, Web Development"
Mentee_273,"Cybersecurity, Artificial Intelligence, Cloud Computing"
Mentee_274,"Marketing, Education, Artificial Intelligence"
Mentee_275,"Artificial Intelligence, Biotechnology, Finance"
Mentee_276,"Biotechnology, Marketing, Artificial Intelligence"
Mentee_277,Marketing
Mentee_278,Cybersecurity
Mentee_279,"Machine Learning, Mobile App Development"
Mentee_280,"Marketing, Cybersecurity"
Mentee_281,"Biotechnology, Cloud Computing"
Mentee_282,"Data Science, Finance"
Mentee_283,"Finance, Cybersecurity"
Mentee_284,"Machine Learning, Cloud Computing, Education"
Mentee_285,Machine Learning
Mentee_286,"Web Development, Cybersecurity"
Mentee_287,Graphic Design
Mentee_288,Web Development
Mentee_289,"Data Science, Biotechnology, Mobile App Development"
Mentee_290,"Education, Mobile App Development, Cloud Computing"
Mentee_291,"Artificial Intelligence, Cloud Computing"
Mentee_292,Cloud Computing
Mentee_293,"Web Development, Artificial Intelligence, Sustainability"
Mentee_294,"Education, Artificial Intelligence, Machine Learning"
Mentee_295,"Finance, Education, Healthcare"
Mentee_296,"Data Science, Education, Machine Learning"
Mentee_297,"Data Science, Biotechnology"
Mentee_298,"Artificial Intelligence, Biotechnology, Finance"
Mentee_299,Mobile App Development
Mentee_300,Finance
Mentee_301,"Marketing, Biotechnology, Cloud Computing"
Mentee_302,"Mobile App Development, Cloud Computing, Biotechnology"
Mentee_303,"Machine Learning, Marketing, Healthcare"
Mentee_304,"Healthcare, Cloud Computing"
Mentee_305,"Finance, Mobile App Development"
Mentee_306,Robotics
Mentee_307,Sustainability
Mentee_308,Healthcare
Mentee_309,Cloud Computing
Mentee_310,Web Development
Mentee_311,"Biotechnology, Finance, Sustainability"
Mentee_312,Artificial Intelligence
Mentee_313,"Cloud Computing, Healthcare"
Mentee_314,Healthcare
Mentee_315,"Healthcare, Artificial Intelligence, Web Development"
Mentee_316,"Graphic Design, Sustainability, Web Development"
Mentee_317,"Mobile App Development, Cybersecurity, Data Science"
Mentee_318,"Marketing, Education"
Mentee_319,"Cloud Computing, Graphic Design"
Mentee_320,Machine Learning
Mentee_321,"Biotechnology, Machine Learning"
Mentee_322,"Marketing, Web Development"
Mentee_323,"Sustainability, Marketing, Data Science"
Mentee_324,"Marketing, Sustainability, Machine Learning"
Mentee_325,"Web Development, Finance, Cybersecurity"
Mentee_326,Robotics
Mentee_327,"Healthcare, Cloud Computing"
Mentee_328,Sustainability
Mentee_329,"Mobile App Development, Biotechnology, Data Science"
Mentee_330,"Cloud Computing, Data Science, Cybersecurity"
Mentee_331,"Artificial Intelligence, Graphic Design"
Mentee_332,Education
Mentee_333,Cybersecurity
Mentee_334,"Education, Robotics, Biotechnology"
Mentee_335,"Web Development, Mobile App Development"
Mentee_336,"Web Development, Finance"
Mentee_337,Education
Mentee_338,"Education, Robotics, Marketing"
Mentee_339,"Cybersecurity, Artificial Intelligence"
Mentee_340,Robotics
Mentee_341,"Marketing, Sustainability, Graphic Design"
Mentee_342,"Marketing, Machine Learning"
Mentee_343,"Robotics, Graphic Design, Sustainability"
Mentee_344,"Cloud Computing, Artificial Intelligence"
Mentee_345,Education
Mentee_346,"Biotechnology, Sustainability, Machine Learning"
Mentee_347,Robotics
Mentee_348,"Marketing, Graphic Design, Cybersecurity"
Mentee_349,"Biotechnology, Robotics, Machine Learning"
Mentee_350,"Graphic Design, Robotics"
Mentee_351,"Healthcare, Cloud Computing, Finance"
Mentee_352,Finance
Mentee_353,"Cybersecurity, Web Development"
Mentee_354,"Education, Mobile App Development, Biotechnology"
Mentee_355,Finance
Mentee_356,"Cloud Computing, Marketing"
Mentee_357,"Marketing, Mobile App Development, Graphic Design"
Mentee_358,"Robotics, Sustainability, Healthcare"
Mentee_359,"Cloud Computing, Web Development"
Mentee_360,Artificial Intelligence
Mentee_361,"Machine Learning, Marketing"
Mentee_362,Marketing
Mentee_363,"Sustainability, Graphic Design, Mobile App Development"
Mentee_364,Data Science
Mentee_365,"Cybersecurity, Graphic Design, Finance"
Mentee_366,"Finance, Machine Learning, Marketing"
Mentee_367,"Sustainability, Graphic Design, Robotics"
Mentee_368,"Web Development, Finance, Mobile App Development"
Mentee_369,"Finance, Sustainability"
Mentee_370,"Cybersecurity, Cloud Computing"
Mentee_371,"Marketing, Web Development, Mobile App Development"
Mentee_372,"Cybersecurity, Machine Learning"
Mentee_373,Sustainability
Mentee_374,"Machine Learning, Healthcare"
Mentee_375,"Cloud Computing, Artificial Intelligence"
